RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-04-06;DI1J22;BRBMEFD1I5H5;FINANCIAL;4,33;4,61;4,4;4,44;91687,75;;505;9625
2020-04-06;DI1J23;BRBMEFD1I5T0;FINANCIAL;5,81;5,81;5,81;5,81;84473,99;;1;5
2020-04-06;DI1J24;BRBMEFD1I6C4;FINANCIAL;;;;;77531,07;;;
2020-04-06;DI1J25;BRBMEFD1I6M3;FINANCIAL;;;;;70824,89;;;
2020-04-06;DI1K20;BRBMEFD1I6B6;FINANCIAL;3,605;3,63;3,612;3,62;99760,66;;56;90215
2020-04-06;DI1M20;BRBMEFD1I6D2;FINANCIAL;3,45;3,46;3,454;3,46;99501,82;;19;15885
2020-04-06;DI1N20;BRBMEFD1I3M0;FINANCIAL;3,3;3,38;3,347;3,38;99239,39;;1161;131465
2020-04-06;DI1N21;BRBMEFD1I3W9;FINANCIAL;3,47;3,7;3,531;3,55;95767,34;;2336;50365
2020-04-06;DI1N22;BRBMEFD1I3X7;FINANCIAL;4,64;4,94;4,721;4,76;90108,17;;2373;29590
2020-04-06;DI1N23;BRBMEFD1I454;FINANCIAL;5,85;6,16;5,952;6,01;82730,76;;1058;20540
2020-04-06;DI1N24;BRBMEFD1I462;FINANCIAL;6,61;6,91;6,634;6,83;75791,47;;75;2035
2020-04-06;DI1N25;BRBMEFD1I603;FINANCIAL;7,1;7,4;7,133;7,31;69340,59;;9;400
2020-04-06;DI1N26;BRBMEFD1I611;FINANCIAL;;;;;63194,55;;;
2020-04-06;DI1Q20;BRBMEFD1I6E0;FINANCIAL;3,265;3,34;3,311;3,34;98949,52;;3;2670
2020-04-06;DI1U20;BRBMEFD1I6F7;FINANCIAL;3,24;3,31;3,249;3,31;98689,04;;4;710
2020-04-06;DI1V20;BRBMEFD1I363;FINANCIAL;3,22;3,32;3,262;3,275;98430,11;;593;61070
2020-04-06;DI1V21;BRBMEFD1I447;FINANCIAL;3,76;4,01;3,838;3,85;94480,12;;356;12550
2020-04-06;DI1V22;BRBMEFD1I5L7;FINANCIAL;5,02;5,21;5,079;5,11;88178,23;;8;140
2020-04-06;DI1V23;BRBMEFD1I645;FINANCIAL;6,07;6,29;6,155;6,21;81144,16;;93;525
2020-04-06;DI1V24;BRBMEFD1I6G5;FINANCIAL;6,74;6,74;6,74;6,74;74054,51;;3;35
2020-04-06;DI1X20;BRBMEFD1I6H3;FINANCIAL;3,19;3,28;3,22;3,28;98172,7;;4;1500
2020-04-06;DI1Z20;BRBMEFD1I6I1;FINANCIAL;3,2;3,2;3,2;3,2;97926,5;;2;255
2020-04-06;DOLF21;BRBMEFDOL3G6;FINANCIAL;;;;;5338,605;;;
2020-04-06;DOLF22;BRBMEFDOL5X6;FINANCIAL;;;;;5471,921;;;
2020-04-06;DOLF23;BRBMEFDOL660;FINANCIAL;;;;;5787,876;;;
2020-04-06;DOLF24;BRBMEFDOL694;FINANCIAL;;;;;6181,923;;;
2020-04-06;DOLF25;BRBMEFDOL3O0;FINANCIAL;;;;;6564,441;;;
2020-04-06;DOLG21;BRBMEFDOL678;FINANCIAL;;;;;5342,219;;;
2020-04-06;DOLH21;BRBMEFDOL686;FINANCIAL;;;;;5350,221;;;
2020-04-06;DOLJ21;BRBMEFDOL5L1;FINANCIAL;;;;;5354,212;;;
2020-04-06;DOLJ22;BRBMEFDOL538;FINANCIAL;;;;;5529,601;;;
2020-04-06;DOLJ23;BRBMEFDOL5M9;FINANCIAL;;;;;5886,309;;;
2020-04-06;DOLK20;BRBMEFDOL603;FINANCIAL;5233;5319,5;5270,141;5296;5293,46;;37226;273085
2020-04-06;DOLM20;BRBMEFDOL611;FINANCIAL;5254;5254;5254;5254;5301,494;;1;5
2020-04-06;DOLN20;BRBMEFDOL579;FINANCIAL;5261,5;5261,5;5261,5;5261,5;5308,111;;1;5
2020-04-06;DOLN21;BRBMEFDOL4F6;FINANCIAL;;;;;5384,189;;;
2020-04-06;DOLN22;BRBMEFDOL561;FINANCIAL;;;;;5609,394;;;
2020-04-06;DOLN23;BRBMEFDOL5C0;FINANCIAL;;;;;5979,566;;;
2020-04-06;DOLN24;BRBMEFDOL5B2;FINANCIAL;;;;;6368,51;;;
2020-04-06;DOLQ20;BRBMEFDOL629;FINANCIAL;;;;;5315,376;;;
2020-04-06;DOLU20;BRBMEFDOL637;FINANCIAL;;;;;5322,616;;;
2020-04-06;DOLV20;BRBMEFDOL5A4;FINANCIAL;5324,5;5324,5;5324,5;5324,5;5327,852;;1;5
2020-04-06;DOLV21;BRBMEFDOL5U2;FINANCIAL;;;;;5424,419;;;
2020-04-06;DOLV22;BRBMEFDOL5D8;FINANCIAL;;;;;5701,779;;;
2020-04-06;DOLX20;BRBMEFDOL645;FINANCIAL;;;;;5333,016;;;
2020-04-06;DOLZ20;BRBMEFDOL652;FINANCIAL;;;;;5335,756;;;
2020-04-06;ETHF21;BRBMEFETH3G6;AGRIBUSINESS;;;;;1925;;;
2020-04-06;ETHJ20;BRBMEFETH3B7;AGRIBUSINESS;;;;;1380;;;
2020-04-06;ETHK20;BRBMEFETH3A9;AGRIBUSINESS;;;;;1380,5;;;
2020-04-06;ETHM20;BRBMEFETH3C5;AGRIBUSINESS;;;;;1431,5;;;
2020-04-06;ETHN20;BRBMEFETH3D3;AGRIBUSINESS;;;;;1420;;;
2020-04-06;ETHQ20;BRBMEFETH3F8;AGRIBUSINESS;;;;;1490;;;
2020-04-06;ETHU20;BRBMEFETH3H4;AGRIBUSINESS;;;;;1490;;;
2020-04-06;ETHV20;BRBMEFETH3I2;AGRIBUSINESS;;;;;1670;;;
2020-04-06;ETHX20;BRBMEFETH3J0;AGRIBUSINESS;;;;;1745;;;
2020-04-06;ETHZ20;BRBMEFETH3E1;AGRIBUSINESS;;;;;1772;;;
2020-04-06;EUPK20;BRBMEFEUP0G9;FINANCIAL;1078,2;1081,4;1080,63;1078,2;1080,662;;6;107
2020-04-06;EUPM20;BRBMEFEUP0H7;FINANCIAL;1081,2;1081,2;1081,2;1081,2;1081,667;;2;150
2020-04-06;EUPN20;BRBMEFEUP0I5;FINANCIAL;;;;;1082,717;;;
2020-04-06;EUPQ20;BRBMEFEUP0J3;FINANCIAL;;;;;1083,801;;;
2020-04-06;EURF21;BRBMEFEUR5J0;FINANCIAL;;;;;5806,188;;;
2020-04-06;EURK20;BRBMEFEUR5K8;FINANCIAL;5669,8;5673;5670,866;5669,8;5720,848;;3;30
2020-04-06;EURM20;BRBMEFEUR5L6;FINANCIAL;;;;;5736,598;;;
2020-04-06;EURN20;BRBMEFEUR5H4;FINANCIAL;;;;;5753,339;;;
2020-04-06;EURQ20;BRBMEFEUR5M4;FINANCIAL;;;;;5765,053;;;
2020-04-06;EURV20;BRBMEFEUR5I2;FINANCIAL;;;;;5784,067;;;
2020-04-06;GBPK20;BRBMEFGBP3A7;FINANCIAL;;;;;6515,006;;;
2020-04-06;GBPM20;BRBMEFGBP3B5;FINANCIAL;;;;;6528,055;;;
2020-04-06;GBPN20;BRBMEFGBP3C3;FINANCIAL;;;;;6540,473;;;
2020-04-06;GBRK20;BRBMEFGBR0G8;FINANCIAL;1225,6;1231,3;1231,25;1225,6;1230,634;;2;736
2020-04-06;GBRM20;BRBMEFGBR0H6;FINANCIAL;;;;;1231,021;;;
2020-04-06;GBRN20;BRBMEFGBR0I4;FINANCIAL;;;;;1231,38;;;
2020-04-06;HSIJ20;BRBMEFHSI2Q4;FINANCIAL;;;;;23740;;;
2020-04-06;HSIK20;BRBMEFHSI2R2;FINANCIAL;;;;;23655;;;
2020-04-06;HYPEOJ20;BRHYPE340010;FINANCIAL;;;;;29,79;;;
2020-04-06;HYPEOK20;BRHYPE350019;FINANCIAL;;;;;29,86;;;
2020-04-06;ICFH21;BRBMEFICF2M3;AGRIBUSINESS;;;;;138,15;;;
2020-04-06;ICFK20;BRBMEFICF2J9;AGRIBUSINESS;123,4;124,3;123,63;123,4;126,15;;4;5
2020-04-06;ICFN20;BRBMEFICF2N1;AGRIBUSINESS;;;;;138,85;;;
2020-04-06;ICFU20;BRBMEFICF2G5;AGRIBUSINESS;128,95;132,45;130,44;132,2;132,1;;78;113
2020-04-06;ICFU21;BRBMEFICF2L5;AGRIBUSINESS;;;;;138,3;;;
2020-04-06;ICFZ20;BRBMEFICF2D2;AGRIBUSINESS;;;;;133,6;;;
2020-04-06;ICFZ21;BRBMEFICF2K7;AGRIBUSINESS;;;;;140,35;;;
2020-04-06;IMVJ20;BRBMEFIMV068;FINANCIAL;;;;;27100;;;
2020-04-06;INDG21;BRBMEFIBV2X1;FINANCIAL;;;;;75328;;;
2020-04-06;INDG22;BRBMEFIBV335;FINANCIAL;;;;;78279;;;
2020-04-06;INDJ20;BRBMEFIBV2R3;FINANCIAL;72185;75365;74054;74385;74106;;24820;159285
2020-04-06;INDJ21;BRBMEFIBV2Y9;FINANCIAL;;;;;75644;;;
2020-04-06;INDM20;BRBMEFIBV2T9;FINANCIAL;74620;74650;74649;74650;74359;;2;195
2020-04-06;INDM21;BRBMEFIBV2Z6;FINANCIAL;;;;;76041;;;
2020-04-06;INDQ20;BRBMEFIBV2U7;FINANCIAL;;;;;74586;;;
2020-04-06;INDQ21;BRBMEFIBV301;FINANCIAL;;;;;76552;;;
2020-04-06;INDV20;BRBMEFIBV2V5;FINANCIAL;;;;;74826;;;
2020-04-06;INDV21;BRBMEFIBV319;FINANCIAL;;;;;77019;;;
2020-04-06;INDZ20;BRBMEFIBV2W3;FINANCIAL;;;;;75075;;;
2020-04-06;INDZ21;BRBMEFIBV327;FINANCIAL;;;;;77585;;;
2020-04-06;INKM20;BRBMEFINK028;FINANCIAL;;;;;18920;;;
2020-04-06;INKU20;BRBMEFINK036;FINANCIAL;;;;;18875;;;
2020-04-06;ISPH21;BRBMEFISP0Y2;FINANCIAL;;;;;2649;;;
2020-04-06;ISPM20;BRBMEFISP0V8;FINANCIAL;2576;2656,5;2618,7;2656,5;2656,5;;423;767
2020-04-06;ISPU20;BRBMEFISP0W6;FINANCIAL;2605,5;2621;2611,66;2621;2675;;3;15
2020-04-06;ISPZ20;BRBMEFISP0X4;FINANCIAL;;;;;2650,75;;;
2020-04-06;JAPK20;BRBMEFJAP0G8;FINANCIAL;108850;109040;108998,33;109040;108972,665;;2;1140
2020-04-06;JAPM20;BRBMEFJAP0H6;FINANCIAL;;;;;108886,831;;;
2020-04-06;JAPN20;BRBMEFJAP0I4;FINANCIAL;;;;;108783,074;;;
2020-04-06;JAPQ20;BRBMEFJAP0J2;FINANCIAL;;;;;108682,36;;;
2020-04-06;JPYK20;BRBMEFJPY3B5;FINANCIAL;;;;;4857,4;;;
